App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-opennlp;POSDictionayBuilderTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\test\java\opennlp\morfologik\builder\POSDictionayBuilderTest.java;;82;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opennlp;MorfologikLemmatizerTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\test\java\opennlp\morfologik\lemmatizer\MorfologikLemmatizerTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\main\java\opennlp\morfologik\lemmatizer\MorfologikLemmatizer.java;69;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-opennlp;MorfologikTagDictionaryTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\test\java\opennlp\morfologik\tagdict\MorfologikTagDictionaryTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\main\java\opennlp\morfologik\tagdict\MorfologikTagDictionary.java;92;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;1
test-smells-opennlp;POSTaggerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-morfologik-addon\src\test\java\opennlp\morfologik\tagdict\POSTaggerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\postag\POSTaggerFactory.java;98;3;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-opennlp;ChunkerDetailedFMeasureListenerTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerDetailedFMeasureListenerTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerDetailedFMeasureListener.java;71;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-opennlp;ChunkerEvaluatorTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerEvaluatorTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerEvaluator.java;109;3;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-opennlp;ChunkerFactoryTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerFactory.java;109;4;6;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2
test-smells-opennlp;ChunkerMETest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerMETest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerME.java;150;10;16;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-opennlp;ChunkerModelTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerModelTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerModel.java;58;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-opennlp;ChunkSampleStreamTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkSampleStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\parser\ChunkSampleStream.java;89;1;18;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-opennlp;ChunkSampleTest;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkSampleTest.java;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkSample.java;296;19;42;6;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;1;0;0;6
test-smells-opennlp;ZeroMethods;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\cmdline\ArgumentParserTest.java;;171;0;7;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-opennlp;NoExitSecurityManager;C:\Users\crist\.jnose_projects\test-smells-opennlp\opennlp-tools\src\test\java\opennlp\tools\cmdline\CLITest.java;;140;3;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;0;0;0
